Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,28005426.6,5730,984.7801,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,28005426.6,5730,984.7801,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,13383201.7,3329,992.1912,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,13155015.6,3327,986.4786,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,13155015.6,3327,986.4786,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,12937335.1,3307,987.2451,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,12866395,3281,987.8929,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OLF,3817919.7,1916,976.8819,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AON,1172758.6,621,950.6177,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DP,196453.9,85,878.4697,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PIR,1308077.6,723,1110.3794,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TT,512873.5,249,856.3689,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TTd,238601.5,144,875.4956,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TTv,274272,105,841.145,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,9048514.5,1365,992.091,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACA,362051.6,19,977.4106,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd,362051.6,19,977.4106,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd6a,29233,2,1034.75,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd1,84910.5,0,885.561,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd2/3,84612.9,1,912.0714,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd5,163295.3,16,1041.7871,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA,512793.3,195,937.5809,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA6a,26651.9,5,1001.12,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA2/3,117407.3,47,954.9565,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA5,254901.5,143,911.5592,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA1,113832.6,0,961.9223,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP,54052,0,1062.6,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP6a,54052,0,1062.6,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORB,1972175.9,639,1023.8085,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl,1085198.6,167,1049.8788,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl2/3,299150.2,57,1029.2456,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl6a,271418,9,1081.9455,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl1,15248.1,3,901.1429,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl5,499382.4,98,1048.8623,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm,400772.5,230,952.088,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm6a,186037.7,84,1033.3017,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm2/3,46481.4,15,846.1915,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm1,11824,0,851.4167,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm5,156429.4,131,887.5946,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl,486204.8,242,1024.9079,0
"4527_SLIDE1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl2/3,78950.4,58,897.1333,0
