Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,27429839,11771,1012.2571,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,27276600.5,17031,785.35,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,54706439.5,28803,900.2581,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,54707725.4,28803,900.2265,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,27432347.7,11772,1012.1756,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,23924479.3,10647,1018.4923,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,17194524.6,8045,1076.552,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CNU,3552520.8,704,1220.9217,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PAL,772881.1,46,913.5827,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALd,489165.9,32,920.1367,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GPi,281408.7,30,906.9291,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GPe,207757.2,2,933.3795,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALv,133385.5,0,874.3,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SI,133385.5,0,874.3,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STR,2779639.7,658,1303.1515,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",sAMY,1353424.5,570,1099.0125,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CEA,606304.3,156,1004.2984,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CEAc,147730.5,32,966.958,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CEAl,109991.7,18,992.9406,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CEAm,348582,106,1022.2628,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",IA,160945,118,1111.0443,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",BA,78541.8,26,891.1429,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MEA,507633.5,270,1235.605,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STRd,1196441.1,70,1579.9885,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CP,1196441.1,70,1579.9885,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,13642003.8,7341,1039.2506,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,12565390,6973,1053.0562,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",HPF,2967658.1,970,1035.2241,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",HIP,2965394.9,970,1035.4355,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG,920140.4,242,1039.6904,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG-sg,244202.3,164,1282.6017,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG-mo,586693.1,44,943.0884,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG-po,89245,34,1011.4286,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CA,2019098.4,718,1035.7558,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CA1,1470449,582,1003.7369,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CA2,44991.8,8,1078.6744,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CA3,503657.6,128,1120.5021,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FC,26156.1,10,704.24,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OLF,2336927,1608,817.3623,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",COA,541660.7,258,454.3262,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",COAa,541660.7,258,454.3262,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PAA,388278.5,76,334.2869,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PIR,1330263.5,1256,1139.1103,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,7260804.9,4395,1136.2236,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PTLp,860230.8,603,1197.2299,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISa,567782.9,316,1173.8377,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISa6a,125808.6,78,1068.1795,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISa5,156623.5,110,1343.906,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISa6b,26893.2,16,1135.125,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISa1,70884,18,1092.8209,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISa4,59668.5,56,1270.7966,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISa2/3,127905.2,38,1066.2787,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISrl,292448,287,1234.8942,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISrl6b,3555.8,4,1271,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISrl1,62795.8,83,1205.5,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISrl4,47040.2,98,1340.4651,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISrl2/3,95733.1,72,1229.5604,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISrl6a,26921,12,1126.44,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISrl5,56402.1,18,1261.2545,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AI,583816.9,144,945.6631,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIp,583816.9,144,945.6631,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIp1,96132.1,4,874.9333,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIp2/3,175841.6,60,1153.5714,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIp6a,128870.2,58,872.1803,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIp5,169653.2,22,825.1463,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIp6b,13319.7,0,969,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VIS,554279,268,1076.4972,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISam,554279,268,1076.4972,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISam6a,90796.1,92,940.1071,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISam2/3,157765.5,56,1045.7829,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISam1,100582.3,6,771.6667,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISam4,40411,38,1346.3421,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISam5,151106.4,60,1374.0638,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISam6b,13617.7,16,902.0769,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISC,876957.9,136,1096.0182,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISC5,267710.9,18,1066.3867,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISC2/3,199442.5,16,969.1604,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISC6b,20479,10,1382.8095,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISC6a,204163.8,60,1376.3692,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISC1,125397.9,2,850.1885,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",VISC4,59763.9,30,1116.8167,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AUD,286912.3,18,937.4888,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AUDd,212005.9,16,943.0995,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AUDd1,79292.7,0,845.5921,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AUDd2/3,105886.3,10,1001.6337,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AUDd4,25356.5,4,1041.7391,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AUDd5,1470.4,2,1057.6667,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AUDv,74906.4,2,923.9444,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AUDv2/3,38416.4,2,954.8378,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AUDv1,35087.7,0,887.8378,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AUDv4,1402.3,0,1025,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSP,1353630.8,1434,901.6114,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPd,514625.3,398,843.6004,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPd5,170320.9,232,940.2831,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPd6a,115077.4,58,855.1818,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPd6b,8633.9,6,872.6,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPd2/3,124642.9,102,845.2845,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPd1,95950.1,0,630.2857,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPv,546675.4,826,955.8208,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPv1,89940.9,8,646.7791,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPv6a,82685.6,58,954.5733,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPv6b,12770.9,14,923.3077,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPv5,230350.5,382,981.6864,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPv2/3,130927.4,364,1093.0984,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPagl,292330.1,210,902.8764,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPagl1,52735.5,4,668.6042,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPagl5,92294.3,68,1021.7159,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPagl6b,10126.6,12,833.4444,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPagl6a,66147.4,68,888.8,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RSPagl2/3,71026.4,58,928.6667,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SS,2744835.8,1792,1319.1337,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSp,1097342.4,876,1304.5721,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSp-bfd,1097342.4,876,1304.5721,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSp-bfd6a,276046.1,168,1231.9234,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSp-bfd4,215811.4,316,1591.7822,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSp-bfd6b,47973.7,28,1497.3617,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSp-bfd5,232683.3,48,1172.8371,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSp-bfd2/3,218049.3,252,1308.087,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSp-bfd1,106778.7,64,996.2277,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSs,1647493.4,916,1342.8012,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSs4,214137.2,228,1432.3317,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSs5,492472.4,252,1299.8458,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSs2/3,326501.7,110,1257.379,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSs6a,413706,272,1492.1709,0
"4707_slide2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSs1,150599.8,16,881.6187,0
