Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",,57469532.1,3077,661.8655,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,35407974.9,3049,1013.0785,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,16623850.9,2525,1004.434,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,15674801.7,2502,1020.688,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,15674801.7,2502,1020.688,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CNU,4195299.6,467,878.318,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PAL,242823.9,2,842.4391,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALv,242823.9,2,842.4391,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SI,242823.9,2,842.4391,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STR,3952475.7,465,880.3471,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LSX,13611.3,0,844.6154,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LS,13611.3,0,844.6154,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LSr,13611.3,0,844.6154,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STRd,1175014.2,158,831.4365,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CP,1175014.2,158,831.4365,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STRv,2249203.2,210,926.3814,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACB,1445592.8,171,961.2833,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OT,803610.4,39,854.6063,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,11479550.6,2035,1071.9273,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,11033182.7,1941,1075.7799,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,9108761,1209,1101.4073,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACA,1404612.2,423,1024.8904,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd,719372.5,35,1056.4355,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd6a,164104.4,31,1100.7468,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd6b,3108.4,0,800.5,0
"4660_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd1,131173.5,0,833.2439,0
