Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",,69398414.3,3813,956.6914,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,52872604.7,3792,1213.8822,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,26615273.7,1708,1249.6066,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,23291498.6,1640,1244.9728,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,16267046.2,1115,1283.1089,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CNU,3398323.9,65,1081.72,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PAL,680215.8,0,904.1402,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALd,450360.3,0,904.658,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GPi,251199.2,0,827.1452,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GPe,199161.1,0,1002.6684,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALv,67008.4,0,1022.3492,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SI,67008.4,0,1022.3492,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STR,2718108.1,65,1127.5971,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",sAMY,1253798.5,41,972.1895,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CEA,485359.5,13,1085.4279,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CEAc,105690.5,4,1071.78,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CEAl,106360.7,3,1139.2233,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CEAm,273308.3,6,1082.2674,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",IA,84265,1,898.4815,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MEA,684174,27,898.6321,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STRd,1289864.4,23,1265.5454,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CP,1289864.4,23,1265.5454,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,12868722.3,1050,1336.2174,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,11768836,1003,1368.4235,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",HPF,2446769.4,121,1779.0056,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",HIP,2444004.8,121,1778.7602,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG,752825.4,61,2274.1369,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG-sg,201372.3,39,2456.5812,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG-mo,477607.9,10,2249.8556,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG-po,73845.2,12,1882.9714,0
"4533_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CA,1666550.2,60,1542.5437,0
