Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",,94648864.8,14698,781.9043,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,61204658.4,14537,1158.71,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,29310370.8,8234,1298.9251,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,25339896.2,7437,1300.9523,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,16700744.1,5066,1146.0195,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CNU,525880.3,66,1076.664,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STR,525880.3,66,1076.664,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",sAMY,484129.9,57,1092.4859,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MEA,484129.9,57,1092.4859,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,16174863.8,5000,1148.5037,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,14663202.6,4720,1165.552,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",HPF,5778082.5,597,1229.2219,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",HIP,4618463,347,1281.0857,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG,1011515,67,1201.6753,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG-sg,248193.3,25,1249.8565,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG-mo,680231.8,40,1108.8704,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DG-po,83089.9,2,1900.375,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CA,3606948,280,1302.3286,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CA1,1982745.2,75,1084.7405,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CA2,125581.8,10,901.0678,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CA3,1498621,195,1630.3535,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",RHP,1123551.3,246,1031.5814,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ProS,150095.7,4,1326.5694,0
"4531_SLIDE3.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ENT,557016,230,984.3703,0
