Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,45383643.4,1992,1114.2185,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,45383643.4,1992,1114.2185,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,21894625.3,868,1141.0896,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,17997354.5,773,1222.9032,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,17563372.9,390,1240.1786,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CNU,8353431,180,1101.323,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PAL,2059208.4,109,1008.5607,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALc,789082,77,1017.0791,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",BST,789082,77,1017.0791,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALd,65.39,0,NaN,1
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GPe,65.39,0,NaN,1
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALm,331968.4,5,1072.2848,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TRS,189085.7,1,1209.3611,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MSC,142882.7,4,893.2353,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",NDB,142882.7,4,893.2353,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALv,800541.3,26,951.5664,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MA,142706.1,0,1009.7015,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SI,657835.2,26,937.3933,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STR,6294470.7,71,1131.8132,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LSX,538044.7,2,1218.8613,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SF,292097.1,1,894.9675,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LS,245947.5,1,1602.6812,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LSr,295.37,0,NaN,1
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LSc,245652.2,1,1602.6812,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STRd,4726920.7,18,1135.9359,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CP,4726920.7,18,1135.9359,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STRv,775363.8,38,1111.2057,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FS,219917.3,17,970.7981,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OT,555446.6,21,1167.6609,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,9209941.9,210,1368.8826,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,8979097.2,208,1382.9621,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,7905135.6,104,1424.4116,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACA,739535.5,0,1362.9,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd,358893.7,0,1237.4897,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd6a,86652.1,0,1362.3415,0
"4526_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd6b,3801,0,1403,0
