Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",,31266323.2,1130,1712.8129,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,19154770.9,1022,2650.4452,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,9296642.7,672,2730.5745,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,8998535.1,661,2762.1509,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,8998535.1,661,2762.1509,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,8998535.1,661,2762.1509,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,8998535.1,661,2762.1509,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OLF,2416266.8,605,2626.9628,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AON,1143985.5,203,2114.7371,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOB,1103507.8,388,3223.5553,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,6582268.3,56,2810.3978,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACA,263799.4,4,2411.4263,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd,263799.4,4,2411.4263,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd6a,171.06,0,NaN,1
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd1,71322.9,0,2037.6806,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd2/3,71574.9,1,2445.3529,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd5,120730.5,3,2644.5385,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP,97382.4,2,3633.087,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP6a,97382.4,2,3633.087,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORB,1908948.5,28,3172.8153,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl,731553.8,6,3372.2482,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl2/3,158479.4,0,3075.2933,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl6a,123006.1,0,3659.0513,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl1,125793,3,3680.7563,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl5,324275.2,3,3289.4774,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm,485826.7,12,2596.7137,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm6a,34900.4,1,3370.4848,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm2/3,110191.4,1,2426.1619,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm1,133358.7,1,2463.1825,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm5,207376.2,9,2819.6567,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl,691568.1,10,3289.9206,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl2/3,198008.6,2,3245.8978,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl1,162464.5,4,3237.5033,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl6a,90604.5,3,3417.3295,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl5,240490.5,1,3311.5721,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL,579441.1,9,2943.4835,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL1,116549.7,0,2768.3274,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL2/3,101337.1,1,2239.9479,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL6a,85358.6,1,3517.7375,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL5,276195.6,7,3066.4749,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AI,577918.7,3,2452.0219,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId,542836.6,3,2411.3631,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId6a,9781.4,0,3619.4444,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId2/3,169644.1,3,2598.6605,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId5,272036.2,0,2548.5305,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId1,91374.8,0,1591.9302,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv,35082.1,0,3182,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv2/3,13510.2,0,2834.1538,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv1,21571.9,0,3336,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MO,3154778.3,10,2643.3179,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOp,166386.9,0,1815.6101,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOp2/3,27025,0,3830.7308,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOp1,139361.8,0,1461.0815,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs,2988391.4,10,2686.8021,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs1,480273,1,1222.0873,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs2/3,1082670.8,3,2940.9545,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs6a,187911.6,0,3429.3202,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs5,1237536,6,2925.5153,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",fiber tracts,298107.6,11,1602.3546,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",cm,298107.6,11,1602.3546,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",In,298107.6,11,1602.3546,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",aco,92772.9,8,2446.2529,0
"5876_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",lotg,111973.5,1,1182.0654,0
