Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,18295887.3,1886,1460.2839,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,8490785.9,477,1370.3862,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,8166741.7,469,1383.568,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,8166741.7,469,1383.568,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,8166741.7,469,1383.568,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,8166741.7,469,1383.568,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OLF,2465976.3,346,1504.4683,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AON,911763.8,82,1385.6763,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOB,1279068.8,251,1722.2924,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,5700765.5,123,1332.6207,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACA,149451.9,7,1019.9225,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd,149451.9,7,1019.9225,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd1,49901.8,3,987.4583,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd2/3,52573.6,4,1139.5306,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd5,46976.5,0,876.25,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP,206758.4,2,1455.7092,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP6a,16218.7,0,1268.6667,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP5,190539.7,2,1469.2363,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORB,1840299.6,73,1411.8237,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl,694223.3,35,1474.3638,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl2/3,201483.8,2,1693.4536,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl1,139748.3,3,1191.1538,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl5,352991.2,30,1471.7343,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm,456444.3,23,1152.7829,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm2/3,123349.4,3,1294.3913,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm1,134192.8,0,872.8605,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm5,198902.1,20,1244.6596,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl,689632,15,1499.7519,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl2/3,210965.3,5,1735.2871,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl1,188489.9,1,1171.4751,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl6a,368.99,0,NaN,1
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl5,289807.8,9,1554.781,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL,543219.9,21,1286.0406,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL1,110610.3,0,972.614,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL2/3,93586,4,1799.4271,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL5,339023.7,17,1255.6409,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AI,400760.4,1,1499.836,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId,400760.4,1,1499.836,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId2/3,217034.2,1,1736.375,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId5,76828.6,0,1489.2368,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId1,106897.6,0,967.1782,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MO,2560275.3,19,1277.354,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs,2560275.3,19,1277.354,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs1,584146.5,1,962.4954,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs2/3,954271.6,12,1485.3263,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs5,1021857.2,6,1250.0113,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",fiber tracts,323946.4,8,1054.7325,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",cm,323946.4,8,1054.7325,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",In,323946.4,8,1054.7325,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",aco,79438.6,3,969.7703,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",lotg,109150.7,0,862.4,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",lot,88440.3,0,863.2941,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",lotd,20710.4,0,948.4444,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",onl,135357.1,5,1252.3385,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,9805101.5,1409,1531.747,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,9488130.4,1408,1554.5451,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,9488130.4,1408,1554.5451,0
"5373_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,9488130.4,1408,1554.5451,0
