Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,28889242.8,2908,1110.909,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,15109954.6,1537,1117.6392,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,14745295.8,1533,1127.2059,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,14745295.8,1533,1127.2059,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CNU,1152906.4,71,1113.0838,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PAL,180636.1,12,1141.0175,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALv,180636.1,12,1141.0175,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SI,180636.1,12,1141.0175,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STR,972270.2,59,1107.3918,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STRv,968515.3,57,1109.1517,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACB,263521.8,29,1046.0683,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OT,704993.5,28,1116.3058,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,13592260.9,1462,1126.8426,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,13362344.2,1425,1127.6419,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,10176853,733,1146.1195,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACA,438834.7,48,1131.8206,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd,438834.7,48,1131.8206,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd6a,67357,4,1204.5781,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd1,89449,1,858.5128,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd2/3,93942.9,9,1141.8523,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd5,188085.9,34,1221.9775,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GU,142942.5,0,936.4412,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GU1,52197.6,0,746.4348,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GU2/3,90744.9,0,1067.3218,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA,738223.1,155,1078.571,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA6a,210901.6,42,1124.203,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA2/3,121640.7,13,1126.75,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA5,279433.5,99,1127.3,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA1,126247.3,1,904.1356,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AI,1797238.9,75,1098.03,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId,1047438.1,25,1113.1734,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId6a,326184.3,4,1196.3149,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId6b,4058,0,772.25,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId2/3,191457.2,5,1036.0167,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId5,461236.3,16,1143.9817,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId1,64502.2,0,721.3387,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv,749800.8,50,1083.369,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv5,387156.4,26,1159.1786,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv6a,22353.2,0,1249.5,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv2/3,290541.3,24,1012.6882,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv1,49749.9,0,801.617,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SS,203542.7,0,999.2887,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSp,203542.7,0,999.2887,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSp-m,203542.7,0,999.2887,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSp-m1,123797.8,0,858.9913,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SSp-m2/3,79744.9,0,1271.8333,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORB,1040754.2,70,1110.5589,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl,777696.2,46,1142.6671,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl5,506172.9,38,1239.8551,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl6a,239839.8,7,983.0519,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl6b,31683.5,1,787.5484,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm,137288.2,18,993.3953,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm6b,8363.3,0,785.1111,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm6a,128924.9,18,998.9435,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl,125769.8,6,1050.0413,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl6a,94144.2,6,1045.4157,0
"_10.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl5,23549.5,0,1197.0476,0
