Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",,33474185.6,6607,1784.1959,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,25723036.1,6567,2240.0635,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,13190150.8,3170,2274.1666,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,12941813.5,3165,2297.3989,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,12941813.5,3165,2297.3989,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,12941813.5,3165,2297.3989,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,12941813.5,3165,2297.3989,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OLF,3474406,532,1808.4265,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AON,1490825.6,362,1892.2488,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DP,7563.3,0,1427.7143,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PIR,866409.5,40,1658.8782,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TT,613163.1,57,1850.0981,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TTd,228547.7,31,1880.6651,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TTv,384615.4,26,1783.9237,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,9467430.3,2633,2481.8659,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACA,396376.9,17,1986.6552,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd,396376.9,17,1986.6552,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd6a,48425.2,0,1749.413,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd1,84747.9,1,1342.3077,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd2/3,90054.9,10,2631.7556,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd5,173148.9,6,1965.6242,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA,333685,33,2068.4031,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA6a,20818.7,0,2693.0476,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA2/3,75088.6,3,2540.4789,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA5,168935.3,30,2122.5951,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA1,68842.3,0,1226.8485,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP,31042.1,4,2325.3448,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP6a,31042.1,4,2325.3448,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORB,1873945.1,147,2689.4614,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl,906618.6,32,3104.1269,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl2/3,256253.9,17,3080.7172,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl6a,226106.2,3,3370.3832,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl1,17465.5,0,3486.1765,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl5,406793,12,2984.1825,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm,489566.1,60,2214.2013,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm6a,139529.7,17,2980.0597,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm2/3,106023.3,20,1941.0097,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm1,69130.8,2,1739.5362,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm5,174882.4,21,1934.2606,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl,477760.3,55,2413.7969,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl2/3,128758.1,39,1797.6387,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl6a,160619.5,8,3157.6928,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl5,188382.7,8,2146.9116,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL,766408,57,2117.7092,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL1,126027.9,0,1639.7845,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL2/3,120052.3,2,3051.2931,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL6a,214342.5,32,2185.1739,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL5,305985.3,23,1913.6027,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AI,1277622.5,247,2210.5186,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId,893144.5,223,2322.7538,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId6a,193415.6,28,2946.9565,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId2/3,210502.6,59,2501.915,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId5,400142.7,131,2199.8058,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId1,89083.5,5,1186.381,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv,384478,24,1940.1047,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv5,132866.1,8,2097.1508,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv6a,4098.6,0,2717,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv2/3,141732.4,14,2101.4627,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv1,105780.9,2,1550.65,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MO,4788350.7,2128,2578.5921,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOp,1942023,1364,2741.013,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOp5,671190.7,535,2981.3918,0
"5368_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOp2/3,885313.9,755,3009.611,0
