Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,22825575.5,5224,1166.9829,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,22825575.5,5224,1166.9829,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,11723956.8,2721,1151.1516,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,11453704,2705,1162.3351,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,11453704,2705,1162.3351,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,11453704,2705,1162.3351,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,11453704,2705,1162.3351,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OLF,3783821.9,996,1054.5224,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AON,1742229.6,655,1231.2914,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PIR,733714.1,87,703.5873,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TT,690579.3,120,1159.7012,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TTd,289864.7,52,1100.9384,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TTv,400714.6,68,1219.1916,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,7669882.1,1709,1213.7753,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACA,111037.1,2,668.0185,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd,111037.1,2,668.0185,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd1,36729.4,0,602.4865,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd2/3,39081.3,0,707.4324,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd5,35226.4,2,699,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP,137660.2,22,1357.8321,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP6a,137660.2,22,1357.8321,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORB,2482232,978,1530.5636,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl,967783.2,367,1385.8791,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl2/3,198207.8,93,1368.7619,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl6a,208387.8,74,1727.2513,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl1,124851.6,36,876.6721,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl5,436336,164,1365.1585,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm,721350.7,240,1475.4845,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm6a,44560.2,11,1357.2619,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm2/3,162739,30,1618.9745,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm1,171722.2,15,1135.7048,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm5,342329.2,184,1590.936,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl,793098.2,371,1761.0452,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl2/3,256439.1,109,1807.4,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl1,35096.4,4,1042.8788,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl6a,133715,59,1704.0079,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl5,367847.7,199,1844.7443,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL,668732.4,64,809.1987,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL1,132531.9,1,778.3511,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL2/3,107348.8,7,895.8448,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL6a,57519.3,11,886.3148,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL5,371332.4,45,779.9943,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AI,1192909.5,184,877.4673,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId,875004.6,133,942.6034,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId6a,91671.6,40,1355.5843,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId2/3,234787.6,34,901.1577,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId5,430038.4,56,969.1512,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId1,118479.7,3,589.4196,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv,317904.9,51,719.066,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv5,72376.3,20,808.4306,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv2/3,127752.7,26,758.0331,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv1,117751,5,602.4862,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MO,3077310.8,459,1187.627,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOp,505569.8,161,1236.4551,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOp5,23848.5,16,1102.5,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOp2/3,310593.4,139,1415.777,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOp1,171127.9,6,889,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs,2571741,298,1180.9963,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs1,393004.9,11,1628.9647,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs2/3,743609.7,74,1236.3886,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs6a,176910.5,39,1363.6024,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs5,1258215.9,174,977.3644,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",fiber tracts,270123,16,665.1146,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",cm,270123,16,665.1146,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",In,270123,16,665.1146,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",aco,127297.5,16,749.5517,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",lotg,142825.5,0,631.7647,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",lot,142825.5,0,631.7647,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,11101618.9,2503,1183.8246,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,10836329,2497,1198.7457,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,10836329,2497,1198.7457,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,10836329,2497,1198.7457,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,10836329,2497,1198.7457,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OLF,3437830.4,980,1118.6234,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AON,2382625.6,745,1124.5472,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PIR,21432.4,0,478.75,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TT,733609.6,206,1315.8594,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TTd,294129.4,65,1334.0396,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TTv,439480.2,141,1286.024,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,7399438,1517,1230.5313,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACA,87639.4,3,1187.8795,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd,87639.4,3,1187.8795,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd1,34939.2,0,1256.7879,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd2/3,32836.8,0,1140.5484,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd5,19863.4,3,1197.4118,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP,179418.8,62,1567.3023,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP6a,136591.8,39,1552.5231,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP5,42826.9,23,1637.8974,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORB,2693752.5,863,1439.4853,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl,1061051.9,381,1376.7976,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl2/3,214641.1,76,1404.7659,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl6a,175619.6,57,1448.8623,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl1,152819,34,1054.0205,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl5,517972.2,214,1426.1585,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm,729639.6,151,1310.6705,0
"4689_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm6a,20839.8,2,1064.3684,0
