Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",,35970662.2,10621,602.4371,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,19724260,10560,945.8489,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,9368868,5340,1018.9577,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,9166198.7,5320,1025.6635,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,9166198.7,5320,1025.6635,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,9166198.7,5320,1025.6635,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,9166198.7,5320,1025.6635,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OLF,2316389.5,1739,913.5479,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AON,1485592.4,998,929.6342,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TT,358245.8,293,783.5988,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TTd,136944.5,111,766.1077,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TTv,221301.3,182,794.4833,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,6849809.2,3581,1063.7259,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACA,313909.4,157,938.8926,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd,313909.4,157,938.8926,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd6a,14638.1,4,1059.9286,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd1,75712.5,9,796.3803,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd2/3,78032.4,41,943.4583,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd5,145526.5,103,993.5,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA,73821.3,27,956.8056,0
"4634_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA2/3,20091.4,10,1088.2105,0
