Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",,33939342.1,9505,1714.4122,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,23451192.4,9489,2371.831,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,11829104.1,4778,2358.5837,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,11550225.2,4707,2372.836,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,11550225.2,4707,2372.836,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,11550225.2,4707,2372.836,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,11550225.2,4707,2372.836,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OLF,2903064.7,1198,1724.4268,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AON,1418829.4,733,1786.0415,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",DP,4380.5,0,2192,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PIR,498794.5,173,1962.4515,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TT,540869.1,25,1057.3131,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TTd,193018,14,925.0649,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TTv,347851.1,11,1092.2134,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,8647182.6,3509,2594.3331,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACA,426945.7,198,2057.1422,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd,426945.7,198,2057.1422,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd6a,70205.3,29,2037.4091,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd1,83254.1,0,1257.5385,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd2/3,91856.2,18,1871.3059,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd5,181630.1,151,2554.8895,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA,368925.1,130,1994.7787,0
"5366_1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA6a,50504.6,49,2672.2,0
