Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,32121365.8,1549,1827.6582,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,16977094.5,747,1537.3293,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,16615309.1,720,1554.7151,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,16615309.1,720,1554.7151,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,16615309.1,720,1554.7151,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,16615309.1,720,1554.7151,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OLF,4741254.4,487,1702.0809,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AON,2429702.7,366,2003.4972,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PIR,613326.8,3,891.1344,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TT,939767.3,81,1234.3754,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TTd,329942.1,64,1876.7974,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",TTv,609825.2,17,910.4758,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,11874054.7,233,1482.4412,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACA,409320.1,11,2063.9354,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd,409320.1,11,2063.9354,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd6a,22718.7,0,2365.6818,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd1,97710.5,2,2486.7634,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd2/3,97627.4,4,2154.2366,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd5,191263.5,5,1812.1148,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA,144625.3,8,2242.5594,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA2/3,38189.4,5,2392.2432,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA5,60343.8,3,2321.1475,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ILA1,46092.1,0,2039,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP,78422.7,4,2623.8961,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",FRP6a,78422.7,4,2623.8961,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORB,2965158.7,93,2418.3683,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl,1271208.4,10,2429.9934,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl2/3,270458.7,1,2360.1429,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl6a,312714.5,4,2755.3514,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl1,127427.1,0,2321.9444,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBl5,560608.1,5,2309.9774,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm,820205.3,52,2341.1895,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm6a,140408.4,2,2881.2707,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm2/3,162277.3,14,2213.1429,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm1,152477.3,1,1813.9384,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBm5,365042.4,35,2429.7307,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl,873745,31,2467.6337,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl2/3,284819,25,2099.1172,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl1,1402.8,0,1763,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl6a,213359.5,0,2761.4271,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ORBvl5,374163.7,6,2589.4548,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL,956808.9,71,1995.0022,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL1,164304.6,0,1475.4114,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL2/3,156579.8,4,1982.6,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL6a,211799.2,7,2269.0297,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PL5,424125.3,60,2077.8529,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AI,1667046.6,4,1108.7983,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId,1215240.8,1,905.7522,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId6a,229890.8,0,1334.7685,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId2/3,289982.4,0,,1
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId5,558900.6,1,480.4141,1
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AId1,136467,0,,1
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv,451805.8,3,1473.1943,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv5,137947.2,3,1895.425,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv6a,872.27,0,2584.5,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv2/3,171827.6,0,1179.8904,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",AIv1,141158.8,0,956.6038,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MO,5652672.3,42,540.9731,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOp,1881184.5,0,NaN,1
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOp5,513508.9,0,NaN,1
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOp2/3,950573.3,0,NaN,1
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOp1,417102.3,0,,1
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs,3771487.8,42,536.7256,0
"_17.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MOs1,514114.9,2,462.4784,1
