Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,44364494.4,10194,1144.9259,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,44364494.4,10194,1144.9259,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,22924310.5,4939,1129.7533,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,21197832.9,4857,1162.3419,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,19778238.9,4331,1171.9855,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CNU,8851244.2,721,1056.4643,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PAL,1651342,245,1022.0032,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALc,724773,191,1024.2438,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",BAC,298.05,0,NaN,1
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",BST,724475,191,1024.2438,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALd,126.56,0,NaN,1
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",GPe,126.56,0,NaN,1
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALm,149991.7,20,1093.7569,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MSC,149991.7,20,1093.7569,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MS,40860.9,0,869.8049,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",NDB,109130.7,20,1176.9151,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALv,644521,10,1001.3987,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MA,133516.2,5,1073.855,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SI,511004.9,5,979.8282,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STR,7199902.2,476,1065.0944,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LSX,1281741,161,981.7031,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SF,276754.2,20,948.6198,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LS,1005040.9,141,991.548,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LSr,562875.3,72,1083.0725,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LSv,166168.9,37,728.3006,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LSc,275996.7,32,1014.1154,0
"4524_SLIDE2.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",sAMY,345605.3,35,1004.4816,0
