Image,Name,Area µm^2,Num Positive,FITC: Mean,Exclude
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",,45491494.7,1078,1020.4428,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Root,34120281.2,1059,1322.2446,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",root,16563682.2,530,1379.2295,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",grey,15481040.6,508,1424.764,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CH,15481040.6,508,1424.764,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CNU,5906373.3,224,1342.0697,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PAL,368869.6,13,1377.5773,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALm,105421.2,6,1312.697,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",MSC,105421.2,6,1312.697,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",NDB,105421.2,6,1312.697,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",PALv,251824.7,0,1355.9752,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",SI,251824.7,0,1355.9752,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STR,5537503.7,211,1338.7302,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LSX,316523.2,66,1245.7987,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LS,316523.2,66,1245.7987,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",LSr,316523.2,66,1245.7987,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STRd,2261634.3,20,1204.2903,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CP,2261634.3,20,1204.2903,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",STRv,2531701.7,75,1489.6175,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACB,1621311.2,51,1502.1113,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",OT,910390.4,24,1474.0659,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTX,9574667.3,284,1477.8816,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",CTXpl,9169230.4,274,1492.9246,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",Isocortex,7808540,204,1518.1695,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACA,1245943.9,50,1472.6669,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd,585058.2,18,1340.5888,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd6a,153643.2,2,1577.5467,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd6b,3594.7,0,1352.6667,0
"4690_slide1.vsi - 10x_DAPI, FITC, TRITC, Cy5_01",ACAd1,91570.8,5,1452.2069,0
