Acronym,Brain Region,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,1000_annotation_measurements,1001_annotation_measurements,4524_annotation_measurements,4525_annotation_measurements,4526_annotation_measurements,4527_annotation_measurements,4528_annotation_measurements,4530_annotation_measurements,4531_annotation_measurements,4532_annotation_measurements,4533_annotation_measurements,4634_annotation_measurements,4635_annotation_measurements,4636_annotation_measurements,4637_annotation_measurements,4657_annotation_measurements,4658_annotation_measurements,4659_annotation_measurements,4660_annotation_measurements,4689_annotation_measurements,4690_annotation_measurements,4691_annotation_measurements,4692_annotation_measurements,4702_annotation_measurements,4703_annotation_measurements,4704_annotation_measurements,4705_annotation_measurements,4707_annotation_measurements,4708_annotation_measurements,4709_annotation_measurements,4710_annotation_measurements,5366_annotation_measurements,5368_annotation_measurements,5369_annotation_measurements,5370_annotation_measurements,5373_annotation_measurements,5374_annotation_measurements,5375_annotation_measurements,5875_annotation_measurements,5876_annotation_measurements
DP,Dorsal peduncular area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Dorsal peduncular area,,,,11.23,17.67,320.91,553.92,106.15,226.44,303.48,295.04,381.0,335.52,265.86,541.59,116.81,120.76,720.51,320.64,561.86,267.19,330.3,291.4,15.33,76.67,151.79,603.34,153.61,580.9,350.72,590.21,92.95,295.65,46.4,404.61,140.56,54.02,158.72,133.0,85.53,353.94,19.07,51.86
PIR,Piriform area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Piriform area,,,,31.07,11.7,266.04,503.91,74.32,429.51,219.96,208.5,541.59,537.36,202.58,576.97,109.26,76.34,606.01,225.17,319.03,172.35,331.89,444.47,104.97,114.24,265.71,435.12,157.63,676.18,243.63,340.71,94.15,354.15,69.52,540.17,266.87,127.39,107.94,200.1,30.36,691.78,99.73,74.79
NLOT1,"Nucleus of the lateral olfactory tract, molecular layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Nucleus of the lateral olfactory tract,"Nucleus of the lateral olfactory tract, molecular layer",,,126.6,16.93,191.37,171.72,64.7,249.44,141.29,157.98,373.01,489.56,45.09,233.25,39.42,34.01,943.06,135.22,231.32,122.28,175.84,252.87,82.36,98.38,136.25,425.99,116.38,583.27,62.99,413.76,34.17,448.03,104.44,313.97,130.9,185.32,74.84,73.79,0.0,613.87,111.14,67.92
NLOT2,"Nucleus of the lateral olfactory tract, pyramidal layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Nucleus of the lateral olfactory tract,"Nucleus of the lateral olfactory tract, pyramidal layer",,,64.16,3.08,270.65,562.16,48.11,263.36,252.26,172.26,574.53,594.93,18.72,589.58,91.09,67.31,481.15,176.88,357.99,105.38,353.85,312.77,75.69,42.67,207.26,380.89,56.84,509.34,113.51,324.07,30.49,679.54,180.84,304.86,96.57,122.93,82.32,77.25,4.43,1196.22,70.49,53.37
COAa,"Cortical amygdalar area, anterior part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Cortical amygdalar area,"Cortical amygdalar area, anterior part",,,29.06,11.44,371.52,443.24,64.66,371.88,296.84,209.13,501.73,593.79,203.74,512.81,169.23,102.25,580.8,374.46,313.22,163.88,305.11,307.98,74.19,112.57,210.96,569.04,167.16,707.26,343.62,404.52,135.89,372.41,132.44,436.89,228.08,197.69,153.17,167.7,6.69,1015.15,130.91,112.5
COApl,"Cortical amygdalar area, posterior part, lateral zone",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Cortical amygdalar area,"Cortical amygdalar area, posterior part","Cortical amygdalar area, posterior part, lateral zone",,6.16,3.9,59.69,124.36,21.05,100.03,80.24,49.7,255.97,144.09,79.23,108.95,56.42,93.19,155.93,86.67,83.52,60.76,112.24,76.52,37.55,35.59,75.88,237.88,80.1,158.03,47.43,140.68,50.3,93.05,13.79,145.99,64.21,29.0,36.16,50.78,23.52,966.04,20.33,15.22
COApm,"Cortical amygdalar area, posterior part, medial zone",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Cortical amygdalar area,"Cortical amygdalar area, posterior part","Cortical amygdalar area, posterior part, medial zone",,5.35,5.26,66.35,155.84,16.58,140.43,88.13,60.22,143.54,148.87,77.88,264.67,38.62,37.2,209.74,99.75,85.9,146.65,172.88,52.95,33.7,41.01,92.12,184.55,88.43,198.47,71.48,158.86,32.61,92.21,30.43,144.66,91.53,62.81,39.6,89.47,38.84,909.12,20.2,8.42
PAA,Piriform-amygdalar area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Piriform-amygdalar area,,,,47.24,7.63,177.21,292.0,74.94,267.09,165.19,113.96,419.63,322.53,126.78,250.54,109.91,97.87,355.65,255.55,238.66,129.81,243.07,170.5,120.53,109.8,206.19,296.76,94.52,369.92,112.89,221.79,83.92,270.66,67.46,266.95,120.42,100.72,83.76,164.41,48.52,1071.71,126.64,50.34
TR,Postpiriform transition area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Postpiriform transition area,,,,19.86,8.59,112.94,167.4,27.27,249.74,115.02,90.61,257.63,206.91,94.23,227.21,44.79,86.81,548.97,128.74,126.14,88.29,197.32,149.1,40.96,43.17,105.91,203.64,95.19,140.61,100.66,253.73,37.43,143.84,49.59,160.04,179.04,44.91,109.18,70.66,40.2,1021.34,75.4,16.7
CA1,Field CA1,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Ammon's horn,Field CA1,,6.12,4.59,66.09,137.27,32.42,55.07,71.21,57.74,95.08,51.42,50.41,106.78,24.52,62.4,209.91,103.35,104.43,118.74,130.71,49.79,13.17,25.74,30.5,129.42,75.67,82.58,90.31,107.27,22.28,44.8,24.94,94.39,45.16,45.03,47.52,85.1,41.71,396.08,12.68,10.42
CA2,Field CA2,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Ammon's horn,Field CA2,,5.83,1.8,44.85,83.25,45.74,51.15,23.94,74.66,100.7,50.75,43.45,44.3,28.51,46.85,172.08,45.91,57.1,71.49,52.84,46.67,14.15,14.77,41.71,132.75,60.86,142.17,85.61,71.48,23.04,37.77,18.84,101.24,32.05,17.2,31.33,130.65,81.14,286.59,4.18,9.13
CA3,Field CA3,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Ammon's horn,Field CA3,,16.53,12.63,95.48,140.35,32.87,77.73,92.75,90.84,137.96,108.1,75.46,114.27,41.34,61.12,270.12,130.78,134.92,136.73,163.56,98.58,23.18,55.9,67.97,245.89,74.19,187.96,111.3,130.02,42.91,92.07,28.31,153.18,79.94,55.2,74.57,102.11,61.27,333.15,24.13,24.22
DG-mo,"Dentate gyrus, molecular layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Dentate gyrus,"Dentate gyrus, molecular layer",,20.33,30.01,29.38,45.73,17.89,19.11,39.11,59.58,106.36,61.47,26.8,52.64,16.52,50.98,179.89,112.8,76.87,93.37,65.78,48.78,11.49,53.61,28.27,130.44,70.07,90.71,62.83,68.55,37.42,56.49,30.42,51.72,29.05,32.28,20.41,54.26,63.86,180.19,22.63,19.81
DG-po,"Dentate gyrus, polymorph layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Dentate gyrus,"Dentate gyrus, polymorph layer",,70.61,53.23,190.69,197.77,70.94,84.74,181.06,120.23,158.88,140.75,146.31,117.47,81.24,35.48,313.0,187.23,213.94,356.42,161.66,116.64,98.6,110.85,83.36,317.69,135.05,309.75,92.29,264.22,103.56,119.48,87.49,199.75,150.58,114.49,111.54,147.11,276.2,403.11,65.13,119.28
DG-sg,"Dentate gyrus, granule cell layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Dentate gyrus,"Dentate gyrus, granule cell layer",,53.86,83.45,199.88,234.62,112.05,64.28,229.0,127.62,193.73,157.64,210.0,161.18,134.84,49.14,281.55,196.57,290.29,373.81,193.68,127.95,119.43,94.4,117.41,362.22,129.38,344.23,205.85,181.93,80.23,142.5,126.3,171.01,107.84,91.43,133.92,178.94,93.86,305.59,67.89,75.52
FC,Fasciola cinerea,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Fasciola cinerea,,,16.16,9.53,36.85,37.88,0.0,7.22,42.93,176.56,48.93,58.63,14.58,31.1,0.0,33.39,177.54,31.9,98.64,19.41,32.13,50.46,22.66,19.14,139.32,89.58,24.64,240.35,53.52,110.34,0.0,48.07,0.0,81.92,103.32,9.3,134.48,9.52,49.8,563.5,0.0,57.7
IG,Induseum griseum,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Induseum griseum,,,11.18,0.0,32.5,28.73,25.71,10.47,15.68,32.19,15.82,12.46,26.1,27.86,9.7,7.38,53.39,20.94,49.1,57.17,89.47,25.23,3.0,24.09,41.14,193.26,28.34,78.55,24.73,249.27,11.82,30.16,18.08,49.28,12.45,18.04,2.95,16.86,12.01,662.33,10.85,16.6
ENTl2,"Entorhinal area, lateral part, layer 2",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Entorhinal area,"Entorhinal area, lateral part","Entorhinal area, lateral part, layer 2",49.08,9.08,308.31,431.82,109.68,465.97,279.96,252.39,459.56,317.04,120.83,566.91,93.96,100.33,1010.72,345.34,334.57,257.0,374.2,377.67,126.62,78.94,356.31,435.2,57.11,312.1,261.69,309.47,99.44,299.61,49.43,513.77,391.45,107.95,308.93,267.47,121.71,1512.56,698.76,208.95
ENTm2,"Entorhinal area, medial part, dorsal zone, layer 2",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Entorhinal area,"Entorhinal area, medial part, dorsal zone","Entorhinal area, medial part, dorsal zone, layer 2",1.63,4.29,179.59,140.45,2.64,220.24,491.04,24.62,237.8,322.04,40.66,273.01,45.1,41.4,641.62,500.48,,27.84,350.48,98.86,58.64,86.35,94.27,139.24,20.21,59.88,10.55,52.51,5.24,189.64,113.75,0.0,0.4,32.83,89.67,59.81,19.18,725.52,5.6,7.0
ENTm6,"Entorhinal area, medial part, dorsal zone, layer 6",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Entorhinal area,"Entorhinal area, medial part, dorsal zone","Entorhinal area, medial part, dorsal zone, layer 6",,10.59,162.16,287.36,8.02,257.79,310.62,98.44,,302.18,0.0,200.55,24.55,7.11,416.0,261.49,,,504.3,188.64,42.23,50.63,91.61,217.68,58.04,82.43,85.7,,,110.77,74.04,,,60.73,155.04,205.57,108.75,737.37,0.0,
PAR,Parasubiculum,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Parasubiculum,,,11.43,1.73,65.49,68.65,5.59,227.36,0.0,12.19,98.84,0.0,26.79,292.2,13.98,50.39,548.73,0.0,,2.59,15.23,62.25,0.0,0.0,36.64,12.23,34.57,17.89,,8.13,51.52,72.43,62.28,0.0,0.0,0.0,38.22,23.64,11.62,27.11,1.91,1.8
POST,Postsubiculum,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Postsubiculum,,,7.68,10.41,122.12,586.24,3.16,271.53,66.36,143.64,37.79,176.92,58.97,356.11,35.55,60.34,1173.75,462.76,135.61,62.26,322.9,463.17,53.06,45.98,161.05,69.09,83.15,101.68,57.16,219.95,20.65,102.61,40.2,179.86,32.44,80.14,46.37,113.94,8.88,235.5,6.85,20.88
PRE,Presubiculum,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Presubiculum,,,9.72,7.4,78.58,323.76,11.67,347.21,87.93,5.46,,636.87,0.0,218.36,22.51,30.8,1522.2,967.91,29.93,0.97,467.57,137.58,0.0,49.97,51.89,357.11,67.07,3.18,52.73,215.96,20.07,216.69,34.25,2.13,6.01,35.3,11.92,249.71,59.67,431.34,9.25,0.96
SUB,Subiculum,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Subiculum,,,4.11,4.49,156.8,322.76,3.23,108.63,60.61,85.18,89.98,30.72,10.88,140.76,31.89,57.54,732.25,188.94,63.39,79.75,101.57,130.48,6.33,22.62,29.89,88.33,23.18,32.22,42.15,57.76,14.4,55.67,15.07,84.95,17.97,16.31,84.14,36.59,16.8,392.47,2.24,3.05
ProS,Prosubiculum,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Prosubiculum,,,5.61,9.28,134.32,238.26,17.56,103.19,162.17,20.93,146.25,115.98,86.45,160.73,19.77,78.74,439.83,246.28,131.16,44.39,221.44,107.44,22.01,19.68,52.8,115.41,35.06,68.38,103.14,75.4,13.16,49.62,38.28,69.54,39.68,31.93,72.59,28.03,37.18,405.6,6.31,4.32
HATA,Hippocampo-amygdalar transition area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Hippocampo-amygdalar transition area,,,11.27,10.33,148.37,266.56,44.67,280.19,287.01,109.35,60.81,315.11,170.02,268.53,143.64,41.82,354.05,312.25,211.03,92.96,315.07,191.93,77.4,100.53,108.17,243.96,220.93,39.61,102.51,91.83,9.1,164.21,169.06,164.54,56.58,95.83,208.14,89.72,55.44,703.14,13.05,12.5
APr,Area prostriata,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Area prostriata,,,0.0,0.0,129.04,52.12,0.0,310.4,164.29,52.95,,,0.0,555.38,54.1,46.34,1529.85,,9.94,12.94,39.64,76.0,,34.88,0.0,0.0,115.0,8.93,98.61,361.2,20.7,167.68,95.42,214.07,2.29,65.56,51.93,345.52,10.42,617.55,8.0,3.86
CLA,Claustrum,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Claustrum,,,,,15.94,7.04,284.3,541.61,29.65,255.41,267.14,239.9,459.31,476.28,118.01,678.41,99.09,35.84,318.37,177.06,319.99,195.46,314.91,548.67,87.12,120.46,227.51,700.22,114.44,578.7,131.18,537.63,99.99,247.88,97.84,469.73,193.9,29.95,251.32,216.89,26.68,607.17,70.01,107.35
EPd,"Endopiriform nucleus, dorsal part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Endopiriform nucleus,"Endopiriform nucleus, dorsal part",,,,28.7,12.43,212.42,404.62,34.63,151.3,266.73,95.65,339.59,341.39,106.66,503.01,90.36,67.02,305.94,208.28,262.19,169.52,285.7,226.97,57.45,65.79,131.43,449.73,125.7,433.52,121.43,259.58,74.39,193.25,42.67,424.43,155.4,76.32,218.7,144.94,13.75,616.79,57.03,106.72
EPv,"Endopiriform nucleus, ventral part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Endopiriform nucleus,"Endopiriform nucleus, ventral part",,,,17.36,10.7,175.2,220.76,40.12,122.27,158.94,51.66,255.8,273.79,77.88,295.05,90.84,76.08,300.47,197.61,182.16,163.73,222.54,146.2,23.2,35.3,59.41,255.42,89.13,303.66,60.09,180.01,42.49,148.54,51.08,293.44,98.91,82.98,150.38,85.76,15.23,715.05,52.56,54.66
LA,Lateral amygdalar nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Lateral amygdalar nucleus,,,,,14.34,17.89,97.6,323.68,27.08,77.75,239.04,120.71,146.73,142.31,44.1,202.94,66.81,106.73,234.03,150.22,133.38,181.25,208.16,99.39,92.42,59.84,10.58,435.35,89.48,227.33,110.94,97.98,73.07,160.24,41.3,160.66,25.24,36.51,29.32,52.21,17.36,568.54,38.98,25.22
BLAa,"Basolateral amygdalar nucleus, anterior part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Basolateral amygdalar nucleus,"Basolateral amygdalar nucleus, anterior part",,,,14.15,17.52,201.73,398.07,20.2,178.21,171.42,122.95,255.57,215.42,58.04,296.15,80.41,113.97,354.13,200.8,204.68,104.5,214.83,146.98,36.87,53.91,69.08,540.46,117.46,288.3,155.27,311.85,49.95,196.19,38.81,303.97,65.82,49.13,147.99,87.04,47.54,610.22,23.69,41.61
BLAp,"Basolateral amygdalar nucleus, posterior part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Basolateral amygdalar nucleus,"Basolateral amygdalar nucleus, posterior part",,,,8.51,10.36,79.79,123.14,22.73,75.88,94.77,40.45,247.04,137.64,53.7,241.94,61.34,83.5,95.57,141.06,83.33,157.7,166.91,80.15,17.88,17.45,33.78,278.25,62.19,151.64,88.37,166.12,38.41,79.55,38.38,246.87,78.62,103.87,108.3,28.48,19.96,845.82,27.18,18.2
BLAv,"Basolateral amygdalar nucleus, ventral part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Basolateral amygdalar nucleus,"Basolateral amygdalar nucleus, ventral part",,,,6.6,1.02,90.68,118.39,25.7,72.51,51.12,26.82,144.07,131.41,56.8,302.81,36.39,89.57,79.17,108.44,41.98,79.42,71.46,67.56,17.29,25.32,28.08,252.19,55.34,195.55,53.68,135.8,44.28,52.69,9.67,258.68,37.54,40.16,66.41,65.72,16.95,804.38,32.45,28.84
BMAa,"Basomedial amygdalar nucleus, anterior part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Basomedial amygdalar nucleus,"Basomedial amygdalar nucleus, anterior part",,,,15.63,8.06,175.28,270.8,49.39,220.56,175.55,100.12,384.46,344.58,82.62,349.92,99.14,132.36,415.49,283.32,179.09,116.56,209.06,221.28,54.96,120.74,133.32,398.79,128.75,341.54,176.84,236.68,72.91,235.16,88.78,261.53,102.92,85.86,100.87,88.38,25.59,868.51,60.56,54.22
BMAp,"Basomedial amygdalar nucleus, posterior part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Basomedial amygdalar nucleus,"Basomedial amygdalar nucleus, posterior part",,,,14.58,7.74,121.01,231.83,38.15,77.59,123.06,79.05,194.91,196.38,82.17,236.3,111.41,94.63,225.21,187.03,114.99,185.24,232.95,92.69,49.49,53.45,36.44,501.25,136.3,251.16,142.9,176.51,65.94,103.51,29.87,212.48,109.68,118.78,108.7,90.26,50.95,1030.47,42.0,45.25
PA,Posterior amygdalar nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical subplate,Posterior amygdalar nucleus,,,,,13.17,9.39,111.99,109.64,39.46,115.11,214.48,68.3,169.33,154.71,103.97,252.55,108.24,73.57,337.59,182.74,205.29,218.32,266.44,108.94,39.13,72.26,84.56,293.66,137.12,227.06,123.3,149.04,72.49,133.84,93.99,324.67,246.34,190.64,151.92,111.64,43.05,995.24,54.35,22.37
CP,Caudoputamen,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum dorsal region,Caudoputamen,,,,2.75,1.11,33.11,112.53,4.58,14.59,22.62,21.15,54.95,20.03,12.96,80.02,9.73,48.32,49.13,18.35,35.8,36.22,36.38,22.33,25.4,28.42,21.03,103.6,13.95,62.28,24.74,34.27,15.6,31.85,8.63,27.88,11.69,3.57,11.28,15.14,6.67,80.31,3.94,4.56
ACB,Nucleus accumbens,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum ventral region,Nucleus accumbens,,,,7.72,3.46,70.51,287.04,34.24,29.54,144.83,188.86,221.96,129.9,139.41,273.65,65.21,114.58,285.86,80.14,214.94,205.5,169.45,79.17,64.07,120.28,112.57,450.14,93.74,296.77,151.94,170.22,45.14,144.26,78.66,113.03,65.81,16.62,61.4,84.15,30.56,68.27,16.39,15.19
FS,Fundus of striatum,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum ventral region,Fundus of striatum,,,,7.04,1.71,113.5,200.55,28.74,74.54,118.34,83.16,194.32,142.53,36.1,284.18,59.97,51.83,167.33,69.67,106.19,64.9,102.07,106.61,39.99,39.93,87.16,333.09,67.69,242.3,61.05,116.13,32.82,171.16,96.43,104.76,46.05,36.16,79.65,8.38,4.25,129.15,29.43,13.97
OT,Olfactory tubercle,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum ventral region,Olfactory tubercle,,,,8.99,6.12,54.76,188.52,11.06,89.22,60.62,63.58,204.78,241.99,69.91,284.19,15.59,38.66,158.52,33.33,89.78,84.35,146.7,100.17,50.44,33.15,122.47,211.62,35.72,194.58,68.88,113.85,45.21,181.65,29.91,88.15,29.98,26.05,30.8,119.81,14.55,96.48,19.3,18.58
LSc,"Lateral septal nucleus, caudal (caudodorsal) part",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Lateral septal complex,Lateral septal nucleus,"Lateral septal nucleus, caudal (caudodorsal) part",,,23.83,7.64,92.88,256.59,60.31,57.12,154.0,134.51,115.47,111.79,78.77,165.71,62.04,26.7,269.04,41.5,176.53,100.08,145.24,154.25,20.57,78.02,143.34,191.61,66.37,225.91,135.72,117.62,36.26,140.48,51.43,270.94,93.13,23.58,109.58,126.57,52.77,42.58,36.65,65.87
LSr,"Lateral septal nucleus, rostral (rostroventral) part",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Lateral septal complex,Lateral septal nucleus,"Lateral septal nucleus, rostral (rostroventral) part",,,41.7,17.56,262.46,430.18,129.16,164.35,224.78,262.69,431.48,246.47,203.39,333.24,127.76,90.55,576.07,242.88,323.35,414.63,357.11,268.84,143.73,206.84,236.87,557.33,139.29,565.35,278.72,333.57,101.69,251.9,142.02,346.41,178.21,113.98,91.6,254.47,66.91,106.08,70.22,91.66
LSv,"Lateral septal nucleus, ventral part",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Lateral septal complex,Lateral septal nucleus,"Lateral septal nucleus, ventral part",,,118.57,35.88,408.82,665.42,179.52,331.25,445.06,520.57,478.56,450.1,436.56,557.97,285.5,248.29,777.54,497.61,568.12,838.7,521.26,409.59,398.08,330.46,414.88,1089.66,291.82,941.23,523.61,433.54,294.59,509.56,357.98,497.78,352.85,229.01,149.69,499.51,155.56,177.81,176.43,235.41
SF,Septofimbrial nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Lateral septal complex,Septofimbrial nucleus,,,,11.65,2.39,80.09,146.61,33.14,56.95,41.6,116.45,112.1,88.22,49.03,90.98,46.7,81.75,290.17,92.55,92.13,148.71,98.46,77.68,40.78,43.93,53.19,153.53,39.55,148.82,109.46,91.6,30.48,78.72,61.41,124.5,55.75,19.62,27.7,59.57,6.71,119.31,26.72,33.52
SH,Septohippocampal nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Lateral septal complex,Septohippocampal nucleus,,,,54.09,6.21,19.95,162.17,0.0,14.2,86.3,107.31,322.11,90.57,37.18,88.85,56.39,0.0,50.55,5.84,180.43,30.13,38.29,51.63,5.71,215.81,41.73,687.96,25.85,150.68,138.94,125.32,0.0,76.85,8.6,337.85,21.74,11.33,27.8,84.08,14.44,21.35,5.98,5.34
AAA,Anterior amygdalar area,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum-like amygdalar nuclei,Anterior amygdalar area,,,,17.23,13.25,89.27,139.62,49.06,89.53,101.1,80.87,404.02,380.32,29.66,618.76,77.49,65.18,372.63,119.58,150.49,79.51,193.84,123.83,31.33,104.81,64.23,508.51,85.77,380.29,202.43,206.27,34.27,311.64,94.85,312.41,94.7,71.53,121.77,18.85,0.42,185.27,41.25,68.59
BA,Bed nucleus of the accessory olfactory tract,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum-like amygdalar nuclei,Bed nucleus of the accessory olfactory tract,,,,64.01,0.0,115.28,509.35,28.49,158.9,222.7,327.95,655.89,435.87,67.52,533.08,73.2,214.8,878.41,175.76,580.22,0.0,113.67,198.96,88.45,32.49,181.0,473.17,370.78,563.27,449.84,361.43,104.36,527.61,20.39,509.74,94.27,260.69,44.9,0.0,0.0,435.05,117.31,104.75
CEAc,"Central amygdalar nucleus, capsular part",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum-like amygdalar nuclei,Central amygdalar nucleus,"Central amygdalar nucleus, capsular part",,,9.0,16.9,125.89,256.74,33.18,201.41,144.27,122.77,285.68,130.88,55.2,201.12,82.54,75.66,257.5,134.36,129.13,132.92,215.07,177.9,83.17,100.98,95.45,298.43,60.8,176.96,114.6,199.49,139.42,311.52,71.96,143.56,69.24,35.22,84.88,35.15,3.32,409.66,52.86,33.04
CEAl,"Central amygdalar nucleus, lateral part",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum-like amygdalar nuclei,Central amygdalar nucleus,"Central amygdalar nucleus, lateral part",,,26.31,59.99,133.89,337.76,57.23,191.57,118.88,207.16,203.66,202.87,75.66,269.54,88.03,114.05,317.55,106.35,124.25,70.83,193.79,197.12,112.18,132.28,128.91,409.52,105.87,242.55,176.97,199.82,184.07,400.05,176.24,271.22,89.66,37.44,94.07,77.38,13.63,375.5,46.34,12.13
CEAm,"Central amygdalar nucleus, medial part",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum-like amygdalar nuclei,Central amygdalar nucleus,"Central amygdalar nucleus, medial part",,,14.87,16.96,126.12,218.61,43.44,124.73,101.08,163.0,328.31,183.01,44.54,239.65,70.59,81.36,267.6,146.76,170.56,112.15,230.3,189.6,45.02,101.7,149.64,360.85,70.49,163.55,116.07,214.62,78.2,236.53,122.06,200.13,71.23,73.8,181.34,70.32,5.04,475.03,45.91,23.33
IA,Intercalated amygdalar nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum-like amygdalar nuclei,Intercalated amygdalar nucleus,,,,14.56,9.78,218.71,403.17,56.91,161.5,302.61,275.56,407.38,313.77,60.38,509.05,287.2,123.17,491.5,257.47,379.25,96.65,270.52,251.59,96.72,99.18,164.1,839.6,234.53,579.78,261.96,320.28,128.06,294.85,126.33,329.38,153.38,50.38,147.15,183.5,20.85,638.54,52.64,47.92
MEA,Medial amygdalar nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum-like amygdalar nuclei,Medial amygdalar nucleus,,,,21.35,12.39,199.37,290.86,30.48,188.54,167.31,192.79,287.82,292.04,99.61,301.19,116.26,58.76,283.0,231.73,200.52,83.59,302.65,188.95,53.35,66.01,160.54,430.41,112.18,439.1,150.49,242.31,55.1,207.23,80.08,206.2,121.03,113.33,99.5,117.01,21.08,820.11,59.89,65.76
GPe,"Globus pallidus, external segment",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, dorsal region","Globus pallidus, external segment",,,,0.86,1.8,3.63,24.04,0.0,3.56,2.5,6.35,40.89,27.49,2.26,60.24,1.56,42.54,15.23,2.53,8.92,6.95,6.1,13.39,8.93,3.29,2.7,8.94,2.95,14.53,3.54,5.73,3.33,3.86,1.24,20.38,7.99,0.94,9.76,2.42,0.3,78.33,0.42,1.5
