Acronym,Brain Region,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,1000_annotation_measurements,1001_annotation_measurements,4524_annotation_measurements,4525_annotation_measurements,4526_annotation_measurements,4527_annotation_measurements,4528_annotation_measurements,4530_annotation_measurements,4531_annotation_measurements,4532_annotation_measurements,4533_annotation_measurements,4634_annotation_measurements,4635_annotation_measurements,4636_annotation_measurements,4637_annotation_measurements,4657_annotation_measurements,4658_annotation_measurements,4659_annotation_measurements,4660_annotation_measurements,4689_annotation_measurements,4690_annotation_measurements,4691_annotation_measurements,4692_annotation_measurements,4702_annotation_measurements,4703_annotation_measurements,4704_annotation_measurements,4705_annotation_measurements,4707_annotation_measurements,4708_annotation_measurements,4709_annotation_measurements,4710_annotation_measurements,5366_annotation_measurements,5368_annotation_measurements,5369_annotation_measurements,5370_annotation_measurements,5373_annotation_measurements,5374_annotation_measurements,5375_annotation_measurements,5875_annotation_measurements,5876_annotation_measurements
SSs,Supplemental somatosensory area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Somatosensory areas,Supplemental somatosensory area,,,0.98,0.67,378.74,903.14,13.82,72.4,114.69,147.9,779.96,416.22,243.82,742.89,56.91,57.94,384.72,39.07,127.0,21.52,115.04,406.2,25.3,33.38,255.66,111.61,37.25,387.93,57.57,316.16,27.73,194.61,98.58,451.57,380.5,24.57,28.37,18.47,2.04,573.27,5.85,4.64
GU,Gustatory areas,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Gustatory areas,,,,2.78,1.46,286.71,447.61,10.19,66.38,74.14,124.04,458.99,217.56,179.81,454.5,100.34,49.49,308.99,31.33,146.4,23.35,274.38,312.97,40.77,52.47,298.83,238.77,51.44,422.15,89.98,237.32,73.33,370.2,115.17,250.49,148.91,50.28,55.64,20.03,3.88,598.52,13.13,12.64
VISC,Visceral area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visceral area,,,,3.97,1.93,392.21,572.3,41.09,81.39,179.31,123.17,629.16,317.46,203.92,471.79,56.31,96.38,249.91,68.23,89.39,38.99,184.84,212.74,28.52,18.41,136.96,213.54,65.9,381.58,78.24,164.58,66.01,205.08,140.18,266.7,313.56,67.13,48.23,30.92,2.86,721.96,14.89,6.19
AUDd,Dorsal auditory area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Dorsal auditory area,,,1.71,0.41,125.32,585.03,23.84,83.16,57.8,85.5,868.21,351.49,54.39,449.9,23.73,70.61,420.47,66.9,89.76,35.78,129.45,250.92,29.51,35.45,116.33,128.15,37.85,245.02,22.06,217.95,50.6,77.47,24.29,252.18,84.32,22.76,18.79,63.06,4.92,497.55,3.12,7.94
AUDp,Primary auditory area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Primary auditory area,,,1.4,4.0,111.62,650.96,17.77,82.37,102.54,80.69,600.41,439.99,69.73,547.37,32.26,62.24,481.65,106.34,99.34,63.3,172.68,234.03,27.07,30.47,176.34,187.16,68.26,272.06,45.05,467.83,87.54,87.37,40.4,348.22,105.98,30.47,26.06,69.27,5.65,823.9,14.32,12.98
AUDpo,Posterior auditory area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Posterior auditory area,,,2.34,5.59,122.44,472.62,28.01,63.01,112.46,100.18,710.32,223.06,65.72,530.09,54.17,46.36,386.71,145.6,66.11,137.33,279.02,234.69,31.43,30.82,204.57,207.04,71.58,228.9,51.94,299.94,54.35,115.7,46.52,437.58,71.29,23.47,29.1,44.37,0.63,742.19,26.15,9.58
AUDv,Ventral auditory area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Auditory areas,Ventral auditory area,,,3.3,8.02,78.74,639.33,22.87,83.95,119.11,116.52,566.53,467.63,72.72,389.66,41.24,137.96,479.59,135.51,134.17,64.6,241.98,238.35,42.31,37.49,107.99,177.73,73.4,271.46,77.36,228.73,93.37,169.29,72.22,356.9,136.67,43.02,39.43,36.32,3.29,627.92,36.69,17.65
VISal,Anterolateral visual area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Anterolateral visual area,,,1.25,1.15,70.43,427.36,6.51,141.39,50.17,45.02,756.24,106.11,42.18,600.0,36.43,32.07,609.87,126.59,141.45,107.74,322.87,337.01,27.8,12.13,63.42,93.61,65.45,204.73,40.28,96.04,50.88,72.04,32.75,356.3,42.1,60.62,15.66,116.07,2.66,463.43,10.63,17.35
VISam,Anteromedial visual area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Anteromedial visual area,,,2.98,0.35,58.27,839.96,8.81,177.42,55.58,87.19,663.07,146.8,50.45,747.32,23.29,23.77,335.98,227.17,87.89,59.01,202.52,199.15,28.75,26.02,105.38,179.27,31.03,153.69,44.63,210.91,30.89,126.29,16.25,540.62,36.97,114.65,17.44,88.13,0.0,397.07,11.76,15.04
VISl,Lateral visual area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Visual areas,Lateral visual area,,,4.39,1.7,35.35,404.95,20.82,337.69,85.46,100.46,709.52,46.62,49.25,653.84,46.49,86.43,784.23,307.44,136.86,181.36,519.84,328.89,35.42,24.83,49.74,131.1,158.99,148.08,57.03,337.3,48.27,82.42,31.01,455.48,36.24,172.64,41.06,37.04,12.21,356.06,40.16,15.23
