Acronym,Brain Region,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,mouse_id,density
SPFm,"Subparafascicular nucleus, magnocellular part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Subparafascicular nucleus,"Subparafascicular nucleus, magnocellular part",,,4527,588.18
SPFp,"Subparafascicular nucleus, parvicellular part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Subparafascicular nucleus,"Subparafascicular nucleus, parvicellular part",,,4527,182.8
SPA,Subparafascicular area,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Subparafascicular area,,,,4527,174.92
PP,Peripeduncular nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Peripeduncular nucleus,,,,4527,118.32
MGd,"Medial geniculate complex, dorsal part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Medial geniculate complex,"Medial geniculate complex, dorsal part",,4527,7.98
MGv,"Medial geniculate complex, ventral part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Medial geniculate complex,"Medial geniculate complex, ventral part",,4527,17.37
MGm,"Medial geniculate complex, medial part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Medial geniculate complex,"Medial geniculate complex, medial part",,4527,42.81
LGd-sh,"Dorsal part of the lateral geniculate complex, shell",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Dorsal part of the lateral geniculate complex,"Dorsal part of the lateral geniculate complex, shell",,4527,64.69
LGd-co,"Dorsal part of the lateral geniculate complex, core",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Dorsal part of the lateral geniculate complex,"Dorsal part of the lateral geniculate complex, core",,4527,58.53
LGd-ip,"Dorsal part of the lateral geniculate complex, ipsilateral zone",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus",Dorsal part of the lateral geniculate complex,"Dorsal part of the lateral geniculate complex, ipsilateral zone",,4527,43.65
LP,Lateral posterior nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,Lateral posterior nucleus of the thalamus,,,4527,58.28
PO,Posterior complex of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,Posterior complex of the thalamus,,,4527,6.39
POL,Posterior limiting nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,Posterior limiting nucleus of the thalamus,,,4527,89.54
SGN,Suprageniculate nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,Suprageniculate nucleus,,,4527,17.34
Eth,Ethmoid nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Lateral group of the dorsal thalamus,Ethmoid nucleus of the thalamus,,,4527,54.61
AV,Anteroventral nucleus of thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Anteroventral nucleus of thalamus,,,4527,61.87
AMd,"Anteromedial nucleus, dorsal part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Anteromedial nucleus,"Anteromedial nucleus, dorsal part",,4527,43.72
AMv,"Anteromedial nucleus, ventral part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Anteromedial nucleus,"Anteromedial nucleus, ventral part",,4527,103.76
AD,Anterodorsal nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Anterodorsal nucleus,,,4527,43.83
IAM,Interanteromedial nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Interanteromedial nucleus of the thalamus,,,4527,251.31
IAD,Interanterodorsal nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Interanterodorsal nucleus of the thalamus,,,4527,108.59
LD,Lateral dorsal nucleus of thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,Lateral dorsal nucleus of thalamus,,,4527,12.5
IMD,Intermediodorsal nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,Intermediodorsal nucleus of the thalamus,,,4527,365.85
MD,Mediodorsal nucleus of thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,Mediodorsal nucleus of thalamus,,,4527,68.9
SMT,Submedial nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,Submedial nucleus of the thalamus,,,4527,1.59
PR,Perireunensis nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,Perireunensis nucleus,,,4527,204.66
PVT,Paraventricular nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,Paraventricular nucleus of the thalamus,,,4527,571.27
PT,Parataenial nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,Parataenial nucleus,,,4527,194.3
RE,Nucleus of reuniens,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,Nucleus of reuniens,,,4527,99.6
Xi,Xiphoid thalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,Xiphoid thalamic nucleus,,,4527,208.4
RH,Rhomboid nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,Rhomboid nucleus,,,4527,127.22
CM,Central medial nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,Central medial nucleus of the thalamus,,,4527,226.92
PCN,Paracentral nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,Paracentral nucleus,,,4527,14.0
CL,Central lateral nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,Central lateral nucleus of the thalamus,,,4527,139.86
PF,Parafascicular nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,Parafascicular nucleus,,,4527,137.03
PIL,Posterior intralaminar thalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,Posterior intralaminar thalamic nucleus,,,4527,118.45
RT,Reticular nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Reticular nucleus of the thalamus,,,,4527,61.61
IGL,Intergeniculate leaflet of the lateral geniculate complex,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related","Geniculate group, ventral thalamus",Intergeniculate leaflet of the lateral geniculate complex,,,4527,567.81
IntG,Intermediate geniculate nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related","Geniculate group, ventral thalamus",Intermediate geniculate nucleus,,,4527,558.5
LGv,Ventral part of the lateral geniculate complex,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related","Geniculate group, ventral thalamus",Ventral part of the lateral geniculate complex,,,4527,693.51
SubG,Subgeniculate nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related","Geniculate group, ventral thalamus",Subgeniculate nucleus,,,4527,221.41
MH,Medial habenula,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Epithalamus,Medial habenula,,,4527,31.86
LH,Lateral habenula,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Epithalamus,Lateral habenula,,,4527,266.3
SO,Supraoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular zone,Supraoptic nucleus,,,,4527,43.97
ASO,Accessory supraoptic group,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular zone,Accessory supraoptic group,,,,4527,54.55
PVH,Paraventricular hypothalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular zone,Paraventricular hypothalamic nucleus,,,,4527,225.73
PVa,"Periventricular hypothalamic nucleus, anterior part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular zone,"Periventricular hypothalamic nucleus, anterior part",,,,4527,568.42
PVi,"Periventricular hypothalamic nucleus, intermediate part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular zone,"Periventricular hypothalamic nucleus, intermediate part",,,,4527,200.39
ARH,Arcuate hypothalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular zone,Arcuate hypothalamic nucleus,,,,4527,223.65
ADP,Anterodorsal preoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Anterodorsal preoptic nucleus,,,,4527,304.62
AVP,Anteroventral preoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Anteroventral preoptic nucleus,,,,4527,71.64
AVPV,Anteroventral periventricular nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Anteroventral periventricular nucleus,,,,4527,155.92
DMH,Dorsomedial nucleus of the hypothalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Dorsomedial nucleus of the hypothalamus,,,,4527,528.09
MEPO,Median preoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Median preoptic nucleus,,,,4527,272.4
MPO,Medial preoptic area,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Medial preoptic area,,,,4527,206.76
OV,Vascular organ of the lamina terminalis,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Vascular organ of the lamina terminalis,,,,4527,76.75
PD,Posterodorsal preoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Posterodorsal preoptic nucleus,,,,4527,158.72
PS,Parastrial nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Parastrial nucleus,,,,4527,195.06
PVp,"Periventricular hypothalamic nucleus, posterior part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,"Periventricular hypothalamic nucleus, posterior part",,,,4527,132.04
PVpo,"Periventricular hypothalamic nucleus, preoptic part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,"Periventricular hypothalamic nucleus, preoptic part",,,,4527,270.13
SBPV,Subparaventricular zone,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Subparaventricular zone,,,,4527,627.32
SCH,Suprachiasmatic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Suprachiasmatic nucleus,,,,4527,1533.88
SFO,Subfornical organ,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Subfornical organ,,,,4527,0.0
VMPO,Ventromedial preoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Ventromedial preoptic nucleus,,,,4527,234.04
VLPO,Ventrolateral preoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Ventrolateral preoptic nucleus,,,,4527,38.86
AHN,Anterior hypothalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Anterior hypothalamic nucleus,,,,4527,222.07
LM,Lateral mammillary nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Lateral mammillary nucleus,,,4527,41.23
MMme,"Medial mammillary nucleus, median part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Medial mammillary nucleus,"Medial mammillary nucleus, median part",,4527,7.77
MMl,"Medial mammillary nucleus, lateral part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Medial mammillary nucleus,"Medial mammillary nucleus, lateral part",,4527,55.56
MMm,"Medial mammillary nucleus, medial part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Medial mammillary nucleus,"Medial mammillary nucleus, medial part",,4527,43.16
MMp,"Medial mammillary nucleus, posterior part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Medial mammillary nucleus,"Medial mammillary nucleus, posterior part",,4527,0.0
MMd,"Medial mammillary nucleus, dorsal part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Medial mammillary nucleus,"Medial mammillary nucleus, dorsal part",,4527,36.14
SUM,Supramammillary nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Supramammillary nucleus,,,4527,394.11
TMd,"Tuberomammillary nucleus, dorsal part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Tuberomammillary nucleus,"Tuberomammillary nucleus, dorsal part",,4527,58.44
TMv,"Tuberomammillary nucleus, ventral part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Tuberomammillary nucleus,"Tuberomammillary nucleus, ventral part",,4527,228.24
MPN,Medial preoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Medial preoptic nucleus,,,,4527,208.5
PMd,Dorsal premammillary nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Dorsal premammillary nucleus,,,,4527,75.47
PMv,Ventral premammillary nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Ventral premammillary nucleus,,,,4527,151.89
PVHd,"Paraventricular hypothalamic nucleus, descending division",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,"Paraventricular hypothalamic nucleus, descending division",,,,4527,440.9
VMH,Ventromedial hypothalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Ventromedial hypothalamic nucleus,,,,4527,176.41
PH,Posterior hypothalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Posterior hypothalamic nucleus,,,,4527,473.98
LHA,Lateral hypothalamic area,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Lateral hypothalamic area,,,,4527,179.38
LPO,Lateral preoptic area,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Lateral preoptic area,,,,4527,143.37
PST,Preparasubthalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Preparasubthalamic nucleus,,,,4527,198.99
PSTN,Parasubthalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Parasubthalamic nucleus,,,,4527,167.06
PeF,Perifornical nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Perifornical nucleus,,,,4527,298.18
RCH,Retrochiasmatic area,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Retrochiasmatic area,,,,4527,70.98
STN,Subthalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Subthalamic nucleus,,,,4527,50.52
TU,Tuberal nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Tuberal nucleus,,,,4527,121.47
FF,Fields of Forel,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Zona incerta,Fields of Forel,,,4527,103.88
ME,Median eminence,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Median eminence,,,,,4527,24.02
SCop,"Superior colliculus, optic layer",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related","Superior colliculus, sensory related","Superior colliculus, optic layer",,,,4527,487.7
SCsg,"Superior colliculus, superficial gray layer",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related","Superior colliculus, sensory related","Superior colliculus, superficial gray layer",,,,4527,391.97
SCzo,"Superior colliculus, zonal layer",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related","Superior colliculus, sensory related","Superior colliculus, zonal layer",,,,4527,294.97
ICc,"Inferior colliculus, central nucleus",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Inferior colliculus,"Inferior colliculus, central nucleus",,,,4527,235.08
ICd,"Inferior colliculus, dorsal nucleus",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Inferior colliculus,"Inferior colliculus, dorsal nucleus",,,,4527,355.65
ICe,"Inferior colliculus, external nucleus",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Inferior colliculus,"Inferior colliculus, external nucleus",,,,4527,236.33
NB,Nucleus of the brachium of the inferior colliculus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Nucleus of the brachium of the inferior colliculus,,,,,4527,64.35
SAG,Nucleus sagulum,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Nucleus sagulum,,,,,4527,41.41
PBG,Parabigeminal nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Parabigeminal nucleus,,,,,4527,105.83
MEV,Midbrain trigeminal nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Midbrain trigeminal nucleus,,,,,4527,260.82
SCO,Subcommissural organ,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, sensory related",Subcommissural organ,,,,,4527,85.52
SNr,"Substantia nigra, reticular part",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related","Substantia nigra, reticular part",,,,,4527,5.49
VTA,Ventral tegmental area,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Ventral tegmental area,,,,,4527,33.56
PN,Paranigral nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Paranigral nucleus,,,,,4527,54.5
RR,"Midbrain reticular nucleus, retrorubral area",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related","Midbrain reticular nucleus, retrorubral area",,,,,4527,103.14
MRN,Midbrain reticular nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Midbrain reticular nucleus,,,,,4527,172.44
SCdg,"Superior colliculus, motor related, deep gray layer",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related","Superior colliculus, motor related","Superior colliculus, motor related, deep gray layer",,,,4527,281.59
SCdw,"Superior colliculus, motor related, deep white layer",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related","Superior colliculus, motor related","Superior colliculus, motor related, deep white layer",,,,4527,281.06
SCiw,"Superior colliculus, motor related, intermediate white layer",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related","Superior colliculus, motor related","Superior colliculus, motor related, intermediate white layer",,,,4527,387.01
SCig,"Superior colliculus, motor related, intermediate gray layer",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related","Superior colliculus, motor related","Superior colliculus, motor related, intermediate gray layer",,,,4527,529.04
PRC,Precommissural nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Periaqueductal gray,Precommissural nucleus,,,,4527,316.74
INC,Interstitial nucleus of Cajal,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Periaqueductal gray,Interstitial nucleus of Cajal,,,,4527,463.65
ND,Nucleus of Darkschewitsch,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Periaqueductal gray,Nucleus of Darkschewitsch,,,,4527,633.47
Su3,Supraoculomotor periaqueductal gray,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Periaqueductal gray,Supraoculomotor periaqueductal gray,,,,4527,481.46
APN,Anterior pretectal nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Pretectal region,Anterior pretectal nucleus,,,,4527,100.5
MPT,Medial pretectal area,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Pretectal region,Medial pretectal area,,,,4527,469.78
NOT,Nucleus of the optic tract,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Pretectal region,Nucleus of the optic tract,,,,4527,228.2
NPC,Nucleus of the posterior commissure,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Pretectal region,Nucleus of the posterior commissure,,,,4527,418.04
OP,Olivary pretectal nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Pretectal region,Olivary pretectal nucleus,,,,4527,437.39
PPT,Posterior pretectal nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Pretectal region,Posterior pretectal nucleus,,,,4527,439.36
RPF,Retroparafascicular nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Pretectal region,Retroparafascicular nucleus,,,,4527,350.96
CUN,Cuneiform nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Cuneiform nucleus,,,,,4527,65.05
RN,Red nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Red nucleus,,,,,4527,39.93
III,Oculomotor nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Oculomotor nucleus,,,,,4527,759.16
MA3,Medial accesory oculomotor nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Medial accesory oculomotor nucleus,,,,,4527,355.07
EW,Edinger-Westphal nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Edinger-Westphal nucleus,,,,,4527,503.69
IV,Trochlear nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Trochlear nucleus,,,,,4527,992.32
Pa4,Paratrochlear nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Paratrochlear nucleus,,,,,4527,172.33
VTN,Ventral tegmental nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Ventral tegmental nucleus,,,,,4527,70.23
AT,Anterior tegmental nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Anterior tegmental nucleus,,,,,4527,10.82
LT,Lateral terminal nucleus of the accessory optic tract,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Lateral terminal nucleus of the accessory optic tract,,,,,4527,423.08
DT,Dorsal terminal nucleus of the accessory optic tract,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Dorsal terminal nucleus of the accessory optic tract,,,,,4527,84.81
MT,Medial terminal nucleus of the accessory optic tract,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, motor related",Medial terminal nucleus of the accessory optic tract,,,,,4527,64.41
SNc,"Substantia nigra, compact part",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related","Substantia nigra, compact part",,,,,4527,7.74
PPN,Pedunculopontine nucleus,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Pedunculopontine nucleus,,,,,4527,73.63
IF,Interfascicular nucleus raphe,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interfascicular nucleus raphe,,,,4527,336.24
IPR,"Interpeduncular nucleus, rostral",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, rostral",,,4527,338.25
IPC,"Interpeduncular nucleus, caudal",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, caudal",,,4527,39.24
IPA,"Interpeduncular nucleus, apical",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, apical",,,4527,370.58
IPL,"Interpeduncular nucleus, lateral",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, lateral",,,4527,18.0
IPI,"Interpeduncular nucleus, intermediate",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, intermediate",,,4527,7.47
IPDM,"Interpeduncular nucleus, dorsomedial",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, dorsomedial",,,4527,181.46
IPDL,"Interpeduncular nucleus, dorsolateral",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, dorsolateral",,,4527,68.08
IPRL,"Interpeduncular nucleus, rostrolateral",root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Interpeduncular nucleus,"Interpeduncular nucleus, rostrolateral",,,4527,102.49
RL,Rostral linear nucleus raphe,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Rostral linear nucleus raphe,,,,4527,334.5
CLI,Central linear nucleus raphe,root,Basic cell groups and regions,Brain stem,Midbrain,"Midbrain, behavioral state related",Midbrain raphe nuclei,Central linear nucleus raphe,,,,4527,149.44
