Acronym,Brain Region,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,mouse_id,density
RSPagl,"Retrosplenial area, lateral agranular part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Retrosplenial area,"Retrosplenial area, lateral agranular part",,,1000,2.36
RSPd,"Retrosplenial area, dorsal part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Retrosplenial area,"Retrosplenial area, dorsal part",,,1000,4.08
RSPv,"Retrosplenial area, ventral part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Retrosplenial area,"Retrosplenial area, ventral part",,,1000,3.33
VISa,Anterior area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Posterior parietal association areas,Anterior area,,,1000,3.98
VISrl,Rostrolateral visual area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Posterior parietal association areas,Rostrolateral visual area,,,1000,1.99
TEa,Temporal association areas,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Temporal association areas,,,,1000,5.3
PERI,Perirhinal area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Perirhinal area,,,,1000,23.21
ECT,Ectorhinal area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Isocortex,Ectorhinal area,,,,1000,4.43
MOB,Main olfactory bulb,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Main olfactory bulb,,,,1000,
AOBgl,"Accessory olfactory bulb, glomerular layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Accessory olfactory bulb,"Accessory olfactory bulb, glomerular layer",,,1000,
AOBgr,"Accessory olfactory bulb, granular layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Accessory olfactory bulb,"Accessory olfactory bulb, granular layer",,,1000,
AOBmi,"Accessory olfactory bulb, mitral layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Accessory olfactory bulb,"Accessory olfactory bulb, mitral layer",,,1000,
AON,Anterior olfactory nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Anterior olfactory nucleus,,,,1000,36.39
TTd,"Taenia tecta, dorsal part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Taenia tecta,"Taenia tecta, dorsal part",,,1000,28.81
TTv,"Taenia tecta, ventral part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Taenia tecta,"Taenia tecta, ventral part",,,1000,24.08
DP,Dorsal peduncular area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Dorsal peduncular area,,,,1000,11.23
PIR,Piriform area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Piriform area,,,,1000,31.07
NLOT1,"Nucleus of the lateral olfactory tract, molecular layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Nucleus of the lateral olfactory tract,"Nucleus of the lateral olfactory tract, molecular layer",,,1000,126.6
NLOT2,"Nucleus of the lateral olfactory tract, pyramidal layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Nucleus of the lateral olfactory tract,"Nucleus of the lateral olfactory tract, pyramidal layer",,,1000,64.16
COAa,"Cortical amygdalar area, anterior part",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Cortical amygdalar area,"Cortical amygdalar area, anterior part",,,1000,29.06
COApl,"Cortical amygdalar area, posterior part, lateral zone",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Cortical amygdalar area,"Cortical amygdalar area, posterior part","Cortical amygdalar area, posterior part, lateral zone",,1000,6.16
COApm,"Cortical amygdalar area, posterior part, medial zone",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Cortical amygdalar area,"Cortical amygdalar area, posterior part","Cortical amygdalar area, posterior part, medial zone",,1000,5.35
PAA,Piriform-amygdalar area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Piriform-amygdalar area,,,,1000,47.24
TR,Postpiriform transition area,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Olfactory areas,Postpiriform transition area,,,,1000,19.86
CA1,Field CA1,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Ammon's horn,Field CA1,,1000,6.12
CA2,Field CA2,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Ammon's horn,Field CA2,,1000,5.83
CA3,Field CA3,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Ammon's horn,Field CA3,,1000,16.53
DG-mo,"Dentate gyrus, molecular layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Dentate gyrus,"Dentate gyrus, molecular layer",,1000,20.33
DG-po,"Dentate gyrus, polymorph layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Dentate gyrus,"Dentate gyrus, polymorph layer",,1000,70.61
DG-sg,"Dentate gyrus, granule cell layer",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Dentate gyrus,"Dentate gyrus, granule cell layer",,1000,53.86
FC,Fasciola cinerea,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Fasciola cinerea,,,1000,16.16
IG,Induseum griseum,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Hippocampal region,Induseum griseum,,,1000,11.18
ENTl2,"Entorhinal area, lateral part, layer 2",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Entorhinal area,"Entorhinal area, lateral part","Entorhinal area, lateral part, layer 2",1000,49.08
ENTm2,"Entorhinal area, medial part, dorsal zone, layer 2",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Entorhinal area,"Entorhinal area, medial part, dorsal zone","Entorhinal area, medial part, dorsal zone, layer 2",1000,1.63
ENTm6,"Entorhinal area, medial part, dorsal zone, layer 6",root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Entorhinal area,"Entorhinal area, medial part, dorsal zone","Entorhinal area, medial part, dorsal zone, layer 6",1000,
PAR,Parasubiculum,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Parasubiculum,,,1000,11.43
POST,Postsubiculum,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Postsubiculum,,,1000,7.68
PRE,Presubiculum,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Presubiculum,,,1000,9.72
SUB,Subiculum,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Subiculum,,,1000,4.11
ProS,Prosubiculum,root,Basic cell groups and regions,Cerebrum,Cerebral cortex,Cortical plate,Hippocampal formation,Retrohippocampal region,Prosubiculum,,,1000,5.61
